DATE,WGS1MO,WGS3MO,WGS6MO,WGS1YR,WGS2YR,WGS3YR,WGS5YR,WGS7YR,WGS10YR,WGS20YR
2001-08-03,3.65,3.54,3.47,3.56,3.86,4.14,4.65,4.93,5.13,5.65
2001-08-10,3.61,3.48,3.42,3.50,3.81,4.10,4.66,4.93,5.08,5.65
2001-08-17,3.51,3.41,3.37,3.44,3.73,4.03,4.57,4.84,4.95,5.58
2001-08-24,3.48,3.40,3.37,3.45,3.73,4.01,4.53,4.80,4.90,5.53
2001-08-31,3.47,3.40,3.33,3.44,3.68,3.94,4.47,4.73,4.84,5.48
2001-09-07,3.44,3.37,3.34,3.43,3.70,3.98,4.53,4.79,4.91,5.53
2001-09-14,2.89,2.88,2.88,2.95,3.13,3.44,4.12,4.47,4.68,5.43
2001-09-21,2.19,2.35,2.45,2.60,2.91,3.27,3.96,4.43,4.70,5.58
2001-09-28,2.42,2.39,2.35,2.49,2.86,3.22,3.94,4.40,4.66,5.53
2001-10-05,2.23,2.25,2.25,2.40,2.76,3.14,3.88,4.30,4.53,5.35
2001-10-12,2.29,2.24,2.23,2.39,2.80,3.22,3.99,4.39,4.65,5.43
2001-10-19,2.31,2.21,2.20,2.37,2.78,3.18,3.94,4.34,4.60,5.37
2001-10-26,2.29,2.17,2.13,2.31,2.72,3.15,3.94,4.33,4.60,5.33
2001-11-02,2.17,2.05,1.98,2.11,2.49,2.92,3.73,4.10,4.37,5.13
2001-11-09,1.96,1.87,1.83,1.99,2.40,2.81,3.58,4.04,4.30,5.03
2001-11-16,1.99,1.90,1.96,2.24,2.83,3.26,3.97,4.45,4.66,5.31
2001-11-23,2.01,1.95,2.01,2.35,3.05,3.51,4.25,4.71,4.93,5.54
2001-11-30,1.95,1.87,1.91,2.23,3.03,3.50,4.25,4.70,4.92,5.60
2001-12-07,1.77,1.75,1.84,2.21,3.02,3.51,4.23,4.70,4.92,5.63
2001-12-14,1.68,1.69,1.77,2.17,3.08,3.60,4.41,4.91,5.14,5.83
2001-12-21,1.69,1.71,1.81,2.23,3.15,3.68,4.45,4.91,5.14,5.79
2001-12-28,1.73,1.73,1.84,2.28,3.21,3.74,4.49,4.95,5.17,5.81
2002-01-04,1.72,1.73,1.83,2.24,3.17,3.69,4.47,4.93,5.15,5.83
2002-01-11,1.67,1.66,1.74,2.13,2.98,3.50,4.31,4.79,5.04,5.71
2002-01-18,1.61,1.61,1.67,2.03,2.86,3.38,4.19,4.66,4.92,5.60
2002-01-25,1.69,1.71,1.80,2.18,3.09,3.61,4.37,4.80,5.05,5.70
2002-02-01,1.70,1.75,1.87,2.25,3.11,3.65,4.40,4.80,5.05,5.66
2002-02-08,1.71,1.75,1.84,2.19,2.98,3.52,4.30,4.70,4.92,5.60
2002-02-15,1.74,1.75,1.86,2.24,3.02,3.56,4.33,4.74,4.94,5.65
2002-02-22,1.75,1.76,1.87,2.24,2.99,3.51,4.27,4.70,4.87,5.59
2002-03-01,1.77,1.77,1.89,2.28,3.08,3.61,4.30,4.73,4.90,5.61
2002-03-08,1.77,1.80,1.96,2.41,3.34,3.89,4.55,4.97,5.13,5.80
2002-03-15,1.80,1.85,2.06,2.58,3.58,4.16,4.77,5.18,5.34,5.98
2002-03-22,1.79,1.85,2.12,2.66,3.70,4.32,4.84,5.23,5.37,6.00
2002-03-29,1.78,1.82,2.13,2.70,3.71,4.31,4.88,5.26,5.38,6.00
2002-04-05,1.78,1.78,2.09,2.64,3.60,4.18,4.79,5.16,5.32,5.93
2002-04-12,1.73,1.72,1.99,2.53,3.47,4.05,4.66,5.03,5.22,5.85
2002-04-19,1.70,1.73,1.93,2.42,3.39,3.99,4.62,5.00,5.21,5.85
2002-04-26,1.68,1.73,1.91,2.36,3.30,3.88,4.56,4.92,5.13,5.79
2002-05-03,1.75,1.77,1.91,2.33,3.23,3.81,4.52,4.88,5.11,5.73
